Name,Inlet Node,Outlet Node,Length (ft),Feature:Roughness,Feature:Slope (ft/ft)
092090040-092090030,92090040,OF-1,259.1827306,0.02,0.00177
092090041-092090040,92090041,92090040,108.3816702,0.013,0.00332
092090042-092090040,92090042,92090040,59.63120191,0.02,0.00252
092090070-092090090,92090070,92090090,20.00012407,0.02,0.0035
092090090-092090042,92090090,92090042,276.1319784,0.02,0.0025
092090100-092090090,92090100,92090090,395.2900355,0.02,0.0025
092100100-092100150,92100100,92100150,200.0696808,0.02,0.0033
092100110-092100160,92100110,92100160,235.4653363,0.02,0.00251
092100120-092100110,92100120,92100110,14.70157625,0.02,0.0034
092100130-092100110,92100130,92100110,138.0321515,0.02,0.00333
092100150-092100130,92100150,92100130,267.1125748,0.02,0.00329
092100160-092100220,92100160,92100220,254.8924494,0.02,0.00251
092100170-092100190,92100170,92100190,15.00009366,0.02,0.00333
092100190-092100150,92100190,92100150,260.0929622,0.02,0.00331
092100220-092100250,92100220,92100250,65.28566266,0.02,0.00245
092100230-092090100,92100230,92090100,167.6513868,0.02,0.00251
092100240-092100220,92100240,92100220,130.7315326,0.02,0.00329
092100250-092100230,92100250,92100230,115.0016079,0.02,0.00252
092100260-092100280,92100260,92100280,87.00250176,0.02,0.00333
092100280-092100240,92100280,92100240,391.2684375,0.02,0.0033
092100300-092100260,92100300,92100260,590.0170077,0.02,0.00251
092100320-092100300,92100320,92100300,480.0135333,0.02,0.0025